Date,price
2014-10-24,3115.5
2014-10-23,3115.5
2014-10-22,3115.5
2014-10-21,2995.85
2014-10-20,2937.7
2014-10-17,2873.9
2014-10-16,2798.95
2014-10-15,2852.45
2014-10-14,2852.45
2014-10-13,2874.85
2014-10-10,2841
2014-10-09,2818.95
2014-10-08,2799.05
2014-10-07,2808.15
2014-10-06,2874.95
2014-10-03,2874.95
2014-10-02,2874.95
2014-10-01,2874.95
2014-09-30,2839.55
2014-09-29,2860.5
2014-09-26,2896.9
2014-09-25,2932.95
2014-09-24,2943.25
2014-09-23,2978.2
2014-09-22,2997.85
2014-09-19,2951.4
2014-09-18,2992.65
2014-09-17,2828.7
2014-09-16,2790.5
2014-09-15,2799.65
2014-09-12,2758.55
2014-09-11,2720.3
2014-09-10,2682.8
2014-09-09,2749.6
2014-09-08,2781.05
2014-09-05,2761.8
2014-09-04,2824.6
2014-09-03,2766
2014-09-02,2792.9
2014-09-01,2755.45
2014-08-29,2604.8
2014-08-28,2604.8
2014-08-27,2600
2014-08-26,2564.7
2014-08-25,2569.5
2014-08-22,2536.45
2014-08-21,2557.85
2014-08-20,2537.1
2014-08-19,2542.65
2014-08-18,2511.45
2014-08-15,2510.55
2014-08-14,2510.55
2014-08-13,2578.7
2014-08-12,2597.2
2014-08-11,2604.95
2014-08-08,2591.75
2014-08-07,2580.95
2014-08-06,2568.4
2014-08-05,2553.62
2014-08-04,2571.02
2014-08-01,2566.72
2014-07-31,2567.31
2014-07-30,2572.45
2014-07-29,2508.94
2014-07-28,2508.94
2014-07-25,2545.12
2014-07-24,2509.04
2014-07-23,2532.46
2014-07-22,2491.39
2014-07-21,2487.49
2014-07-18,2475.72
2014-07-17,2417.45
2014-07-16,2404.8
2014-07-15,2379.69
2014-07-14,2414.14
2014-07-11,2405.19
2014-07-10,2411.07
2014-07-09,2508.74
2014-07-08,2549.66
2014-07-07,2585.79
2014-07-04,2554.26
2014-07-03,2558.66
2014-07-02,2584.76
2014-07-01,2549.65
2014-06-30,2541.21
2014-06-27,2529.87
2014-06-26,2553.02
2014-06-25,2549.07
2014-06-24,2522.5
2014-06-23,2491.82
2014-06-20,2431.59
2014-06-19,2449.62
2014-06-18,2454.16
2014-06-17,2499.59
2014-06-16,2518.73
2014-06-13,2500.12
2014-06-12,2621.26
2014-06-11,2609.11
2014-06-10,2571.25
2014-06-09,2628.59
2014-06-06,2587.6
2014-06-05,2490.62
2014-06-04,2451.36
2014-06-03,2374.39
2014-06-02,2300.75
2014-05-30,2262.65
2014-05-29,2261.44
2014-05-28,2264.58
2014-05-27,2232.12
2014-05-26,2218.86
2014-05-23,2265.88
