Date,price
2014-10-24,3177.2
2014-10-23,3177.2
2014-10-22,3177.2
2014-10-21,3075.7
2014-10-20,3003.7
2014-10-17,2941.1
2014-10-16,2936.85
2014-10-15,2962.1
2014-10-14,2962.1
2014-10-13,2972.85
2014-10-10,2966.2
2014-10-09,3006.2
2014-10-08,2951.1
2014-10-07,2938.65
2014-10-06,2970.95
2014-10-03,2970.95
2014-10-02,2970.95
2014-10-01,2970.95
2014-09-30,3062.85
2014-09-29,3008.15
2014-09-26,3038
2014-09-25,3057.25
2014-09-24,3071.8
2014-09-23,3061.8
2014-09-22,3066.2
2014-09-19,3082.4
2014-09-18,3042.7
2014-09-17,2967.2
2014-09-16,2950.35
2014-09-15,2962.6
2014-09-12,2971.8
2014-09-11,2917.1
2014-09-10,2906.95
2014-09-09,2910
2014-09-08,2915.65
2014-09-05,2880.75
2014-09-04,2897.75
2014-09-03,2908.55
2014-09-02,2915.05
2014-09-01,2912.8
2014-08-29,2784.5
2014-08-28,2784.5
2014-08-27,2769.25
2014-08-26,2760.4
2014-08-25,2793.71
2014-08-22,2742.93
2014-08-21,2738.64
2014-08-20,2726
2014-08-19,2737.4
2014-08-18,2691.85
2014-08-15,2655.01
2014-08-14,2655.01
2014-08-13,2639.48
2014-08-12,2652.72
2014-08-11,2653.02
2014-08-08,2611.25
2014-08-07,2637.93
2014-08-06,2625.59
2014-08-05,2654.31
2014-08-04,2634.25
2014-08-01,2574.81
2014-07-31,2513.13
2014-07-30,2541.4
2014-07-29,2494.66
2014-07-28,2494.66
2014-07-25,2498.44
2014-07-24,2487.88
2014-07-23,2479.22
2014-07-22,2502.52
2014-07-21,2530.35
2014-07-18,2513.67
2014-07-17,2549.27
2014-07-16,2561.02
2014-07-15,2507.55
2014-07-14,2498.79
2014-07-11,2493.81
2014-07-10,2520.74
2014-07-09,2505.56
2014-07-08,2578.44
2014-07-07,2627.43
2014-07-04,2631.06
2014-07-03,2618.52
2014-07-02,2630.51
2014-07-01,2572.62
2014-06-30,2428.79
2014-06-27,2444.08
2014-06-26,2476.14
2014-06-25,2460.3
2014-06-24,2404.15
2014-06-23,2370
2014-06-20,2356.16
2014-06-19,2369.75
2014-06-18,2424.46
2014-06-17,2404
2014-06-16,2370.84
2014-06-13,2392.95
2014-06-12,2470.11
2014-06-11,2437.95
2014-06-10,2453.63
2014-06-09,2420.38
2014-06-06,2381.7
2014-06-05,2370.89
2014-06-04,2361.78
2014-06-03,2326.74
2014-06-02,2314.24
2014-05-30,2261.97
2014-05-29,2295.87
2014-05-28,2299.95
2014-05-27,2292.09
2014-05-26,2331.17
2014-05-23,2375.52
2014-05-22,2255
2014-05-21,2159.81
2014-05-20,2184.5
2014-05-19,2205.06
2014-05-16,2142.83
2014-05-15,2108.68
2014-05-14,2076.17
2014-05-13,2081.3
2014-05-12,2041.03
2014-05-09,1966.3
2014-05-08,1888.39
2014-05-07,1873.11
2014-05-06,1901.98
2014-05-05,1889.64
2014-05-02,1875.25
2014-05-01,1914.68
2014-04-30,1914.68
2014-04-29,1908.2
2014-04-28,1942.01
2014-04-25,1947.73
2014-04-24,1973.47
2014-04-23,1973.47
2014-04-22,1967.05
2014-04-21,1979.69
2014-04-18,1942.9
2014-04-17,1942.9
2014-04-16,1926.87
2014-04-15,1918.86
2014-04-14,1927.32
2014-04-11,1927.32
2014-04-10,1951.47
2014-04-09,1924.14
2014-04-08,1896.7
2014-04-07,1896.7
2014-04-04,1918.86
2014-04-03,1931.3
2014-04-02,1924.83
2014-04-01,1922.49
2014-03-31,1963.22
2014-03-28,1923.04
2014-03-27,1927.17
2014-03-26,1928.72
2014-03-25,1893.47
2014-03-24,1878.14
2014-03-21,1860.46
2014-03-20,1848.51
2014-03-19,1861.66
2014-03-18,1860.11
2014-03-17,1730.93
2014-03-14,1730.93
2014-03-13,1739.79
2014-03-12,1756.41
2014-03-11,1746.56
2014-03-10,1793.3
2014-03-07,1727.54
2014-03-06,1643.31
2014-03-05,1618.36
2014-03-04,1590.49
2014-03-03,1575.35
2014-02-28,1582.12
2014-02-27,1656.85
2014-02-26,1656.85
2014-02-25,1670.74
2014-02-24,1677.11
2014-02-21,1668.35
2014-02-20,1676.01
2014-02-19,1690.75
2014-02-18,1701.06
2014-02-17,1658.49
2014-02-14,1636.29
2014-02-13,1634.15
2014-02-12,1640.57
2014-02-11,1670.89
2014-02-10,1681.54
2014-02-07,1657.74
2014-02-06,1632.6
2014-02-05,1599.75
2014-02-04,1612.64
2014-02-03,1611.49
2014-01-31,1629.17
2014-01-30,1628.82
2014-01-29,1666.6
2014-01-28,1559.22
2014-01-27,1694.93
2014-01-24,1766.57
2014-01-23,1786.04
2014-01-22,1800.02
2014-01-21,1794.1
2014-01-20,1770.5
2014-01-17,1767.52
2014-01-16,1782.1
2014-01-15,1792.31
2014-01-14,1765.67
2014-01-13,1775.03
2014-01-10,1786.33
2014-01-09,1803.96
2014-01-08,1829.55
2014-01-07,1837.76
2014-01-06,1799.88
2014-01-03,1790.81
2014-01-02,1760.75
2014-01-01,1756.36
2013-12-31,1756.27
2013-12-30,1769.51
2013-12-27,1767.37
2013-12-26,1785.84
2013-12-25,1781.06
2013-12-24,1781.06
2013-12-23,1794.6
2013-12-20,1801.82
2013-12-19,1772.84
2013-12-18,1722.46
2013-12-17,1694.53
2013-12-16,1694.23
2013-12-13,1682.29
2013-12-12,1707.38
2013-12-11,1745.41
2013-12-10,1744.22
2013-12-09,1756.12
2013-12-06,1694.14
2013-12-05,1692.79
2013-12-04,1632.65
2013-12-03,1656.05
2013-12-02,1654.21
2013-11-29,1668.9
2013-11-28,1659.44
2013-11-27,1652.77
2013-11-26,1656.1
2013-11-25,1671.63
2013-11-22,1633.05
2013-11-21,1639.87
2013-11-20,1642.71
2013-11-19,1675.27
2013-11-18,1622.3
2013-11-15,1605.62
2013-11-14,1605.62
2013-11-13,1572.66
2013-11-12,1580.23
2013-11-11,1575.7
2013-11-08,1573.71
2013-11-07,1603.83
2013-11-06,1607.56
2013-11-05,1616.22
2013-11-04,1629.07
2013-11-01,1629.07
2013-10-31,1629.12
2013-10-30,1629.57
2013-10-29,1628.17
2013-10-28,1506.8
2013-10-25,1502.17
2013-10-24,1507.35
2013-10-23,1522.23
2013-10-22,1508.04
2013-10-21,1513.37
2013-10-18,1462.39
2013-10-17,1420.87
2013-10-16,1433.67
2013-10-15,1433.67
2013-10-14,1440.64
2013-10-11,1457.66
2013-10-10,1414.95
2013-10-09,1392.45
