Date,price
2014-10-24,1571
2014-10-23,1571
2014-10-22,1571
2014-10-21,1582.1
2014-10-20,1536.9
2014-10-17,1505.2
2014-10-16,1460.55
2014-10-15,1478.05
2014-10-14,1478.05
2014-10-13,1477.9
2014-10-10,1458.95
2014-10-09,1488.4
2014-10-08,1448.55
2014-10-07,1429.65
2014-10-06,1428.85
2014-10-03,1428.85
2014-10-02,1428.85
2014-10-01,1428.85
2014-09-30,1433.55
2014-09-29,1458.5
2014-09-26,1477.95
2014-09-25,1465.3
2014-09-24,1516.4
2014-09-23,1538.5
2014-09-22,1578.85
2014-09-19,1572.2
2014-09-18,1565
2014-09-17,1529.75
2014-09-16,1525.75
2014-09-15,1553.35
2014-09-12,1564.4
2014-09-11,1565.85
2014-09-10,1570.1
2014-09-09,1545.75
2014-09-08,1567.8
2014-09-05,1547.05
2014-09-04,1571.65
2014-09-03,1580.8
2014-09-02,1591.1
2014-09-01,1598.3
2014-08-29,1556.8
2014-08-28,1556.8
2014-08-27,1540.3
2014-08-26,1508.05
2014-08-25,1514.3
2014-08-22,1539.55
2014-08-21,1544.95
2014-08-20,1542.75
2014-08-19,1542.9
2014-08-18,1530.7
2014-08-15,1479.65
2014-08-14,1479.65
2014-08-13,1452.2
2014-08-12,1463.3
2014-08-11,1440.9
2014-08-08,1437.15
2014-08-07,1444.85
2014-08-06,1447.1
2014-08-05,1486.55
2014-08-04,1491.4
2014-08-01,1475.65
2014-07-31,1471.25
2014-07-30,1488.45
2014-07-29,1451
2014-07-28,1451
2014-07-25,1475.65
2014-07-24,1506.4
2014-07-23,1509.45
2014-07-22,1483.25
2014-07-21,1482.6
2014-07-18,1480.45
2014-07-17,1450.6
2014-07-16,1460.85
2014-07-15,1394.6
2014-07-14,1344.25
2014-07-11,1356.6
2014-07-10,1389
2014-07-09,1403.05
2014-07-08,1411.2
2014-07-07,1451.35
2014-07-04,1462.85
2014-07-03,1454.05
2014-07-02,1452
2014-07-01,1438.05
2014-06-30,1418.15
2014-06-27,1384.65
2014-06-26,1402.65
2014-06-25,1420.5
2014-06-24,1439.3
2014-06-23,1414.2
2014-06-20,1396.85
2014-06-19,1411.75
2014-06-18,1421.5
2014-06-17,1449.5
2014-06-16,1413.95
2014-06-13,1428.35
2014-06-12,1459.4
2014-06-11,1469.9
2014-06-10,1481.25
2014-06-09,1487.25
2014-06-06,1486.3
2014-06-05,1463.15
2014-06-04,1446.4
2014-06-03,1412.88
2014-06-02,1418.55
2014-05-30,1373.84
2014-05-29,1392.15
2014-05-28,1410.8
2014-05-27,1401.98
2014-05-26,1409.2
2014-05-23,1415.26
2014-05-22,1406.25
2014-05-21,1395.64
2014-05-20,1404.7
2014-05-19,1422.62
2014-05-16,1419.62
2014-05-15,1351.6
2014-05-14,1365.46
2014-05-13,1357.13
2014-05-12,1355.09
2014-05-09,1335.62
