Date,price
2014-10-24,2575.25
2014-10-23,2575.25
2014-10-22,2575.25
2014-10-21,2584.15
2014-10-20,2569.45
2014-10-17,2521.9
2014-10-16,2466.4
2014-10-15,2523.55
2014-10-14,2523.55
2014-10-13,2485.45
2014-10-10,2451.2
2014-10-09,2479.55
2014-10-08,2411.25
2014-10-07,2366.4
2014-10-06,2423.35
2014-10-03,2423.35
2014-10-02,2423.35
2014-10-01,2423.35
2014-09-30,2445.7
2014-09-29,2449.7
2014-09-26,2445.25
2014-09-25,2377.7
2014-09-24,2486.35
2014-09-23,2556.2
2014-09-22,2601.55
2014-09-19,2568
2014-09-18,2620.4
2014-09-17,2562.35
2014-09-16,2563.1
2014-09-15,2623.25
2014-09-12,2630.4
2014-09-11,2603.1
2014-09-10,2549.95
2014-09-09,2567.35
2014-09-08,2565.9
2014-09-05,2515.75
2014-09-04,2486.15
2014-09-03,2505
2014-09-02,2522
2014-09-01,2504.35
2014-08-29,2460.7
2014-08-28,2460.7
2014-08-27,2505
2014-08-26,2496
2014-08-25,2506.15
2014-08-22,2524.7
2014-08-21,2467.55
2014-08-20,2414.75
2014-08-19,2442.25
2014-08-18,2421.2
2014-08-15,2362.5
2014-08-14,2362.5
2014-08-13,2368.95
2014-08-12,2429.15
2014-08-11,2414.45
2014-08-08,2417.95
2014-08-07,2436.1
2014-08-06,2426.25
2014-08-05,2473.9
2014-08-04,2461.4
2014-08-01,2437.2
2014-07-31,2439.25
2014-07-30,2469.5
2014-07-29,2489.65
2014-07-28,2489.65
2014-07-25,2500.55
2014-07-24,2557.1
2014-07-23,2545
2014-07-22,2524.2
2014-07-21,2523.2
2014-07-18,2562.5
2014-07-17,2602.25
2014-07-16,2573.55
2014-07-15,2517.6
2014-07-14,2411.05
2014-07-11,2425.25
2014-07-10,2545.7
2014-07-09,2582.25
2014-07-08,2575.2
2014-07-07,2684.7
2014-07-04,2698.1
2014-07-03,2696.2
2014-07-02,2702.25
2014-07-01,2680.2
2014-06-30,2686.25
2014-06-27,2638.95
2014-06-26,2652.55
2014-06-25,2691.9
2014-06-24,2663.2
2014-06-23,2600.2
2014-06-20,2583.1
2014-06-19,2605.45
2014-06-18,2641.55
2014-06-17,2653.3
2014-06-16,2580.65
2014-06-13,2607.9
2014-06-12,2701.3
2014-06-11,2697.35
2014-06-10,2665.8
2014-06-09,2707.7
2014-06-06,2739.8
2014-06-05,2697.9
2014-06-04,2682.65
2014-06-03,2645.2
2014-06-02,2644.7
2014-05-30,2542.25
2014-05-29,2601.45
2014-05-28,2595.2
2014-05-27,2614.24
2014-05-26,2686.37
2014-05-23,2737.68
2014-05-22,2497.22
2014-05-21,2445.17
2014-05-20,2512.13
2014-05-19,2553.34
2014-05-16,2403.31
2014-05-15,2266.15
2014-05-14,2269.43
2014-05-13,2263.02
2014-05-12,2229.81
2014-05-09,2160.76
2014-05-08,2079.73
2014-05-07,2063.87
2014-05-06,2040.41
2014-05-05,2032.8
2014-05-02,2036.43
2014-05-01,2066.66
2014-04-30,2066.66
2014-04-29,2053.93
2014-04-28,2094.1
2014-04-25,2073.27
2014-04-24,2053.33
2014-04-23,2053.33
2014-04-22,2036.78
2014-04-21,2060.19
2014-04-18,2005.71
2014-04-17,2005.71
2014-04-16,1948.14
2014-04-15,1952.76
2014-04-14,1982.69
2014-04-11,1982.69
2014-04-10,2016.4
2014-04-09,1973.59
2014-04-08,1911.35
2014-04-07,1911.35
2014-04-04,1891.87
2014-04-03,1885.3
2014-04-02,1923.78
2014-04-01,1882.77
2014-03-31,1906.68
2014-03-28,1891.02
2014-03-27,1826.44
2014-03-26,1757.34
2014-03-25,1733.38
2014-03-24,1715.68
2014-03-21,1692.37
2014-03-20,1668.31
2014-03-19,1699.03
2014-03-18,1691.52
2014-03-17,1644.64
2014-03-14,1644.64
2014-03-13,1642.61
2014-03-12,1635.65
2014-03-11,1665.18
2014-03-10,1667.51
2014-03-07,1625.63
2014-03-06,1554.43
2014-03-05,1553.64
2014-03-04,1527.78
2014-03-03,1496.24
2014-02-28,1510.93
2014-02-27,1498.26
2014-02-26,1498.26
2014-02-25,1484.07
2014-02-24,1488.51
2014-02-21,1480.23
2014-02-20,1459.04
2014-02-19,1486.09
2014-02-18,1479.1
2014-02-17,1452.14
2014-02-14,1453.62
2014-02-13,1478.7
2014-02-12,1510.19
2014-02-11,1497.57
2014-02-10,1492.05
2014-02-07,1505.36
2014-02-06,1482.94
2014-02-05,1499.54
2014-02-04,1493.34
2014-02-03,1466.68
2014-01-31,1501.66
2014-01-30,1494.52
2014-01-29,1550.74
2014-01-28,1573.06
2014-01-27,1571.28
2014-01-24,1597.59
2014-01-23,1634.15
2014-01-22,1622.87
2014-01-21,1635.34
2014-01-20,1617.94
2014-01-17,1597.94
2014-01-16,1612.38
2014-01-15,1616.81
2014-01-14,1603.8
2014-01-13,1617.35
2014-01-10,1584.74
2014-01-09,1615.92
