Date,price
2014-10-24,1404.85
2014-10-23,1404.85
2014-10-22,1404.85
2014-10-21,1391.1
2014-10-20,1360.05
2014-10-17,1342.95
2014-10-16,1323.8
2014-10-15,1340
2014-10-14,1340
2014-10-13,1343.1
2014-10-10,1331.8
2014-10-09,1351.85
2014-10-08,1371.7
2014-10-07,1401.55
2014-10-06,1398.2
2014-10-03,1398.2
2014-10-02,1398.2
2014-10-01,1398.9
2014-09-30,1392.05
2014-09-29,1408.8
2014-09-26,1407.95
2014-09-25,1404
2014-09-24,1391.65
2014-09-23,1386.35
2014-09-22,1369.4
2014-09-19,1375.2
2014-09-18,1414.15
2014-09-17,1453.15
2014-09-16,1436.35
2014-09-15,1461.4
2014-09-12,1381.7
2014-09-11,1345.9
2014-09-10,1306.05
2014-09-09,1275.05
2014-09-08,1271.05
2014-09-05,1260.85
2014-09-04,1254.4
2014-09-03,1281.7
2014-09-02,1257.15
2014-09-01,1262.6
2014-08-29,1242.9
2014-08-28,1242.9
2014-08-27,1259.85
2014-08-26,1256.6
2014-08-25,1222.35
2014-08-22,1249.75
2014-08-21,1246.2
2014-08-20,1260.1
2014-08-19,1283.5
2014-08-18,1270.1
2014-08-15,1190.95
2014-08-14,1190.95
2014-08-13,1133.7
2014-08-12,1152.45
2014-08-11,1155.95
2014-08-08,1130.1
2014-08-07,1147.65
2014-08-06,1151.6
2014-08-05,1128.75
2014-08-04,1114.75
2014-08-01,1149.5
2014-07-31,1148.4
2014-07-30,1112.15
2014-07-29,1071.15
2014-07-28,1071.15
2014-07-25,1073.75
2014-07-24,1064.5
2014-07-23,1042.8
2014-07-22,1028.55
2014-07-21,1008.58
2014-07-18,971.75
2014-07-17,965.45
2014-07-16,954.51
2014-07-15,960.96
2014-07-14,957.78
2014-07-11,961.88
2014-07-10,972.09
2014-07-09,974.68
2014-07-08,996.91
2014-07-07,982.2
2014-07-04,991.68
2014-07-03,994.91
2014-07-02,1006.53
2014-07-01,992.8
2014-06-30,985.18
2014-06-27,953.68
2014-06-26,956.66
2014-06-25,974.29
2014-06-24,920.31
2014-06-23,911.08
2014-06-20,894.72
2014-06-19,897.45
2014-06-18,913.18
2014-06-17,925.49
2014-06-16,926.66
2014-06-13,905.07
2014-06-12,958.71
2014-06-11,946.94
2014-06-10,855.69
2014-06-09,860.77
2014-06-06,864.43
2014-06-05,874.35
2014-06-04,878.21
2014-06-03,877.52
2014-06-02,870.78
2014-05-30,860.82
2014-05-29,849.29
2014-05-28,860.52
2014-05-27,851.19
2014-05-26,849.73
2014-05-23,847.09
2014-05-22,814.12
2014-05-21,818.8
2014-05-20,816.22
2014-05-19,806.64
2014-05-16,843.33
2014-05-15,861.3
2014-05-14,870.44
2014-05-13,854.03
2014-05-12,829.55
2014-05-09,833.22
2014-05-08,838.93
2014-05-07,838.59
2014-05-06,830.82
2014-05-05,840.79
2014-05-02,836.15
2014-05-01,844.16
2014-04-30,844.16
2014-04-29,842.94
2014-04-28,870.93
2014-04-25,869.51
2014-04-24,871.95
2014-04-23,871.95
2014-04-22,891.44
2014-04-21,872.54
2014-04-18,864.09
2014-04-17,864.09
2014-04-16,859.69
2014-04-15,862.62
2014-04-14,867.9
2014-04-11,867.9
2014-04-10,855.39
2014-04-09,835.07
2014-04-08,813.48
2014-04-07,813.48
2014-04-04,841.13
2014-04-03,822.71
2014-04-02,820.12
2014-04-01,821.83
2014-03-31,823.98
2014-03-28,809.91
2014-03-27,797.9
2014-03-26,813.63
2014-03-25,821.78
2014-03-24,826.38
2014-03-21,838.54
2014-03-20,836.1
2014-03-19,834.63
2014-03-18,836.24
2014-03-17,838.64
2014-03-14,838.64
2014-03-13,843.03
2014-03-12,846.16
2014-03-11,853.44
2014-03-10,855.1
2014-03-07,854.76
2014-03-06,863.99
2014-03-05,870.54
2014-03-04,844.79
2014-03-03,846.36
2014-02-28,867.95
2014-02-27,866.19
2014-02-26,866.19
2014-02-25,874.54
2014-02-24,870.24
2014-02-21,874.98
2014-02-20,884.12
2014-02-19,894.28
2014-02-18,892.03
2014-02-17,879.82
2014-02-14,881.82
2014-02-13,878.69
2014-02-12,884.9
2014-02-11,880.55
2014-02-10,889.25
2014-02-07,880.06
2014-02-06,866.77
2014-02-05,850.17
2014-02-04,854.56
2014-02-03,865.7
2014-01-31,862.23
2014-01-30,849.78
2014-01-29,848.41
2014-01-28,845.67
2014-01-27,831.46
2014-01-24,845.28
2014-01-23,852.56
2014-01-22,853.88
2014-01-21,859.45
2014-01-20,867.41
2014-01-17,876.1
2014-01-16,889.93
2014-01-15,886.27
2014-01-14,884.21
2014-01-13,877.96
2014-01-10,875.42
2014-01-09,876.89
2014-01-08,886.07
2014-01-07,883.04
2014-01-06,887.98
2014-01-03,895.74
2014-01-02,888.27
2014-01-01,897.31
2013-12-31,899.41
2013-12-30,897.4
2013-12-27,894.57
2013-12-26,886.8
2013-12-25,885.24
2013-12-24,885.24
2013-12-23,864.19
2013-12-20,873.12
2013-12-19,856.27
2013-12-18,865.65
2013-12-17,867.17
2013-12-16,859.5
2013-12-13,869.27
2013-12-12,859.79
2013-12-11,868.78
2013-12-10,848.55
2013-12-09,849.53
2013-12-06,847.48
2013-12-05,859.54
2013-12-04,869.07
2013-12-03,884.31
2013-12-02,879.33
2013-11-29,856.32
2013-11-28,856.47
2013-11-27,854.71
2013-11-26,868.34
2013-11-25,858.71
2013-11-22,853.34
2013-11-21,858.47
2013-11-20,874.69
2013-11-19,875.57
2013-11-18,874.44
2013-11-15,877.47
2013-11-14,877.47
2013-11-13,868.53
2013-11-12,883.53
2013-11-11,855.44
2013-11-08,898.67
2013-11-07,914.45
2013-11-06,922.46
2013-11-05,911.08
2013-11-04,918.31
2013-11-01,918.31
2013-10-31,917.92
2013-10-30,922.95
2013-10-29,907.91
2013-10-28,899.6
2013-10-25,907.61
2013-10-24,905.51
2013-10-23,895.74
2013-10-22,855.44
2013-10-21,847.67
2013-10-18,844.55
2013-10-17,817.97
2013-10-16,822.32
2013-10-15,822.32
2013-10-14,846.99
2013-10-11,832.24
2013-10-10,837.32
2013-10-09,851.24
2013-10-08,843.08
2013-10-07,826.13
2013-10-04,813.53
2013-10-03,804.88
2013-10-02,814.9
2013-10-01,814.9
2013-09-30,803.08
2013-09-27,758.67
2013-09-26,740.99
2013-09-25,735.47
2013-09-24,734.35
2013-09-23,728.53
2013-09-20,742.65
2013-09-19,747.05
2013-09-18,735.32
2013-09-17,706.79
2013-09-16,715.44
2013-09-13,725.85
2013-09-12,729.07
