Date,price
2014-10-24,214.85
2014-10-23,214.85
2014-10-22,214.85
2014-10-21,209.45
2014-10-20,205.95
2014-10-17,205.85
2014-10-16,207.95
2014-10-15,210
2014-10-14,210
2014-10-13,210.9
2014-10-10,215.1
2014-10-09,216.95
2014-10-08,216.75
2014-10-07,215.75
2014-10-06,221.1
2014-10-03,221.1
2014-10-02,221.1
2014-10-01,221.1
2014-09-30,222.15
2014-09-29,220.3
2014-09-26,223.75
2014-09-25,225.6
2014-09-24,224.9
2014-09-23,220.5
2014-09-22,224.25
2014-09-19,223.4
2014-09-18,221.75
2014-09-17,220.76
2014-09-16,219.81
2014-09-15,223.54
2014-09-12,222.45
2014-09-11,224.68
2014-09-10,224.58
2014-09-09,226.97
2014-09-08,225.63
2014-09-05,224.73
2014-09-04,224.48
2014-09-03,226.22
2014-09-02,225.73
2014-09-01,226.22
2014-08-29,231.3
2014-08-28,231.3
2014-08-27,230.95
2014-08-26,225.88
2014-08-25,221.9
2014-08-22,221.1
2014-08-21,223.29
2014-08-20,218.67
2014-08-19,224.48
2014-08-18,222.25
2014-08-15,216.68
2014-08-14,216.68
2014-08-13,209.97
2014-08-12,204.94
2014-08-11,201.61
2014-08-08,204.45
2014-08-07,201.61
2014-08-06,204.15
2014-08-05,201.71
2014-08-04,203.06
2014-08-01,201.22
2014-07-31,206.09
2014-07-30,199.03
2014-07-29,196.84
2014-07-28,196.84
2014-07-25,198.48
2014-07-24,193.86
2014-07-23,192.81
2014-07-22,191.87
2014-07-21,192.91
2014-07-18,192.96
2014-07-17,192.96
2014-07-16,193.36
2014-07-15,193.51
2014-07-14,189.18
2014-07-11,192.91
2014-07-10,192.91
2014-07-09,193.71
2014-07-08,191.42
2014-07-07,192.22
2014-07-04,190.33
2014-07-03,190.92
2014-07-02,185.4
2014-07-01,185.95
2014-06-30,186.45
2014-06-27,185.01
2014-06-26,182.72
2014-06-25,183.86
2014-06-24,183.76
2014-06-23,185.69
2014-06-20,186.77
2014-06-19,188.51
2014-06-18,186.92
2014-06-17,186.38
2014-06-16,185.14
2014-06-13,186.97
2014-06-12,190.38
2014-06-11,187.47
2014-06-10,189.79
2014-06-09,187.07
2014-06-06,188.75
2014-06-05,186.77
2014-06-04,182.37
2014-06-03,183.26
2014-06-02,182.23
2014-05-30,186.38
2014-05-29,176.64
2014-05-28,178.86
2014-05-27,177.58
2014-05-26,176.84
2014-05-23,181.14
2014-05-22,183.02
2014-05-21,182.03
2014-05-20,180.94
2014-05-19,178.02
2014-05-16,179.51
2014-05-15,185.79
2014-05-14,187.62
2014-05-13,186.77
2014-05-12,180.1
