Date,price
2014-10-24,2802.4
2014-10-23,2802.4
2014-10-22,2802.4
2014-10-21,2793.75
2014-10-20,2770.6
2014-10-17,2769.15
2014-10-16,2811.1
2014-10-15,2803.6
2014-10-14,2803.6
2014-10-13,2782.7
2014-10-10,2826.65
2014-10-09,2819.55
2014-10-08,2865.1
2014-10-07,2829.05
2014-10-06,2818.95
2014-10-03,2818.95
2014-10-02,2818.95
2014-10-01,2807.95
2014-09-30,2794
2014-09-29,2792
2014-09-26,2760.4
2014-09-25,2707.85
2014-09-24,2762.6
2014-09-23,2746.1
2014-09-22,2697.25
2014-09-19,2689.85
2014-09-18,2714.55
2014-09-17,2700.35
2014-09-16,2701.1
2014-09-15,2700.15
2014-09-12,2733.85
2014-09-11,2697.8
2014-09-10,2700.95
2014-09-09,2694.59
2014-09-08,2634.62
2014-09-05,2593.99
2014-09-04,2623.98
2014-09-03,2626.81
2014-09-02,2659.03
2014-09-01,2679.77
2014-08-29,2563.91
2014-08-28,2563.91
2014-08-27,2550.34
2014-08-26,2550.63
2014-08-25,2545.71
2014-08-22,2518.96
2014-08-21,2494.6
2014-08-20,2506.93
2014-08-19,2467.75
2014-08-18,2530.75
2014-08-15,2488.18
2014-08-14,2488.18
2014-08-13,2367.05
2014-08-12,2345.67
2014-08-11,2333.19
2014-08-08,2283.62
2014-08-07,2332.7
2014-08-06,2351.24
2014-08-05,2332
2014-08-04,2317.73
2014-08-01,2283.27
2014-07-31,2287.1
2014-07-30,2311.02
2014-07-29,2314.84
2014-07-28,2314.84
2014-07-25,2281.03
2014-07-24,2257.26
2014-07-23,2263.43
2014-07-22,2288.39
2014-07-21,2223.3
2014-07-18,2204.06
2014-07-17,2151.25
2014-07-16,2113.71
2014-07-15,2126.84
2014-07-14,2114.11
2014-07-11,2098.6
2014-07-10,2108.09
2014-07-09,2139.32
2014-07-08,2178.1
2014-07-07,2255.52
2014-07-04,2272.38
2014-07-03,2268.6
2014-07-02,2204.81
2014-07-01,2166.02
2014-06-30,2116.79
2014-06-27,2117.04
2014-06-26,2122.16
2014-06-25,2112.27
2014-06-24,2110.83
2014-06-23,2040.12
2014-06-20,2018.59
2014-06-19,2047.73
2014-06-18,2037.63
2014-06-17,2067.32
2014-06-16,2032.31
2014-06-13,2039.23
2014-06-12,2014.81
2014-06-11,1998.15
2014-06-10,1996.66
2014-06-09,1983.98
2014-06-06,1974.68
2014-06-05,1964.39
2014-06-04,1962.75
2014-06-03,1975.38
2014-06-02,1986.37
2014-05-30,1971.15
2014-05-29,1941.27
2014-05-28,1984.28
2014-05-27,1989.5
2014-05-26,1938.58
2014-05-23,1926.2
2014-05-22,1919.09
2014-05-21,1893.09
2014-05-20,1895.27
2014-05-19,1863.95
2014-05-16,1846.25
2014-05-15,1879.31
2014-05-14,1869.42
2014-05-13,1901.54
2014-05-12,1865.39
2014-05-09,1868.32
2014-05-08,1871.06
2014-05-07,1875.19
2014-05-06,1877.97
2014-05-05,1885.18
2014-05-02,1886.62
2014-05-01,1891.99
2014-04-30,1891.99
2014-04-29,1889.71
2014-04-28,1891.5
2014-04-25,1889.31
2014-04-24,1890.85
2014-04-23,1890.85
2014-04-22,1877.77
2014-04-21,1888.81
2014-04-18,1878.52
2014-04-17,1878.52
2014-04-16,1885.18
2014-04-15,1895.87
2014-04-14,1908.1
2014-04-11,1908.1
2014-04-10,1932.27
2014-04-09,1938.09
2014-04-08,1940.13
2014-04-07,1940.13
2014-04-04,1925.56
2014-04-03,1920.14
2014-04-02,1942.66
2014-04-01,1969.26
2014-03-31,1962.65
2014-03-28,1981.3
