Date,price
2014-10-24,3796.05
2014-10-23,3796.05
2014-10-22,3796.05
2014-10-21,3772.95
2014-10-20,3812.35
2014-10-17,3851.65
2014-10-16,3865.3
2014-10-15,3888.3
2014-10-14,3888.3
2014-10-13,3912.36
2014-10-10,3858.88
2014-10-09,3618.88
2014-10-08,3622.2
2014-10-07,3801.97
2014-10-06,3817.84
2014-10-03,3817.84
2014-10-02,3817.84
2014-10-01,3817.84
2014-09-30,3719.06
2014-09-29,3720.35
2014-09-26,3651.97
2014-09-25,3662.74
2014-09-24,3616.89
2014-09-23,3579.48
2014-09-22,3622.65
2014-09-19,3673.71
2014-09-18,3668.69
2014-09-17,3712.41
2014-09-16,3623.29
2014-09-15,3613.42
2014-09-12,3641.8
2014-09-11,3655.94
2014-09-10,3639.22
2014-09-09,3707.45
2014-09-08,3752.7
2014-09-05,3702.19
2014-09-04,3680.35
2014-09-03,3705.66
2014-09-02,3586.08
2014-09-01,3572.09
2014-08-29,3571.25
2014-08-28,3571.25
2014-08-27,3602.75
2014-08-26,3596.4
2014-08-25,3600.02
2014-08-22,3573.43
2014-08-21,3521.78
2014-08-20,3527.34
2014-08-19,3520.64
2014-08-18,3532.54
2014-08-15,3584.89
2014-08-14,3584.89
2014-08-13,3580.77
2014-08-12,3549.41
2014-08-11,3546.14
2014-08-08,3455.99
2014-08-07,3480.5
2014-08-06,3548.47
2014-08-05,3486.1
2014-08-04,3439.02
2014-08-01,3315.72
2014-07-31,3341.87
2014-07-30,3346.38
2014-07-29,3345.29
2014-07-28,3345.29
2014-07-25,3326.53
2014-07-24,3356.35
2014-07-23,3323.66
2014-07-22,3208.94
2014-07-21,3176.19
2014-07-18,3226.65
2014-07-17,3214.5
2014-07-16,3204.87
2014-07-15,3200.95
2014-07-14,3200.56
2014-07-11,3301.18
2014-07-10,3267.49
2014-07-09,3285
2014-07-08,3316.56
2014-07-07,3319.84
2014-07-04,3221.1
2014-07-03,3186.12
2014-07-02,3190.68
2014-07-01,3196.39
2014-06-30,3230.62
2014-06-27,3198.72
2014-06-26,3158.13
2014-06-25,3186.66
2014-06-24,3179.27
2014-06-23,3207.8
2014-06-20,3291.21
2014-06-19,3286.54
2014-06-18,3215.69
2014-06-17,3221.99
2014-06-16,3219.31
2014-06-13,3162.6
2014-06-12,3150.74
2014-06-11,3168.9
2014-06-10,3051.61
2014-06-09,2962.59
2014-06-06,2980.06
2014-06-05,3017.87
2014-06-04,2961.65
2014-06-03,2994.1
2014-06-02,2970.23
2014-05-30,2916.89
2014-05-29,2902.11
2014-05-28,3106.33
2014-05-27,3067.91
2014-05-26,3029.54
2014-05-23,3004.77
2014-05-22,3048.19
2014-05-21,3090.48
2014-05-20,3056.31
2014-05-19,2951.42
2014-05-16,3110.49
2014-05-15,3203.39
2014-05-14,3185.43
2014-05-13,3196.34
2014-05-12,3108.1
2014-05-09,3045.79
2014-05-08,3000.61
2014-05-07,3002.62
2014-05-06,3098.36
2014-05-05,3109.86
2014-05-02,3151.75
2014-05-01,3113.67
2014-04-30,3113.67
2014-04-29,3110.69
2014-04-28,3110.98
2014-04-25,3108.58
2014-04-24,3105.7
2014-04-23,3105.7
2014-04-22,3084.16
2014-04-21,3115.78
2014-04-18,3124.69
2014-04-17,3124.69
2014-04-16,3090.67
2014-04-15,3191.01
2014-04-14,3166.88
2014-04-11,3166.88
2014-04-10,3133.64
2014-04-09,3185.87
2014-04-08,3223.9
2014-04-07,3223.9
2014-04-04,3246.07
2014-04-03,3267.7
2014-04-02,3251.94
2014-04-01,3244.01
2014-03-31,3213.52
2014-03-28,3193.75
2014-03-27,3162.86
2014-03-26,3180.34
2014-03-25,3185.72
2014-03-24,3206.67
2014-03-21,3235.89
2014-03-20,3233.35
2014-03-19,3202.71
2014-03-18,3279.84
2014-03-17,3322.52
2014-03-14,3322.52
2014-03-13,3286.74
2014-03-12,3593.82
2014-03-11,3597.79
2014-03-10,3594.12
2014-03-07,3661.37
2014-03-06,3751.03
2014-03-05,3741.05
2014-03-04,3719.37
2014-03-03,3718.09
2014-02-28,3744.13
2014-02-27,3727.15
2014-02-26,3727.15
2014-02-25,3703.07
2014-02-24,3670.77
2014-02-21,3671.55
2014-02-20,3632.93
2014-02-19,3674.19
2014-02-18,3604.3
2014-02-17,3580.95
2014-02-14,3567.39
2014-02-13,3510.13
2014-02-12,3524.13
2014-02-11,3520.36
2014-02-10,3498.38
2014-02-07,3491.28
2014-02-06,3488.49
2014-02-05,3505.67
2014-02-04,3485.95
2014-02-03,3552.56
2014-01-31,3623
2014-01-30,3626.08
2014-01-29,3639.34
2014-01-28,3597.54
2014-01-27,3653.44
2014-01-24,3678.84
2014-01-23,3712.47
2014-01-22,3686.43
2014-01-21,3679.04
2014-01-20,3670.18
2014-01-17,3651.04
2014-01-16,3646.44
2014-01-15,3633.71
2014-01-14,3608.95
2014-01-13,3587.66
2014-01-10,3476.31
2014-01-09,3377.98
2014-01-08,3355.76
2014-01-07,3384.19
2014-01-06,3443.66
2014-01-03,3489.91
2014-01-02,3407.1
2014-01-01,3394.81
2013-12-31,3412.09
2013-12-30,3428.44
2013-12-27,3486.15
2013-12-26,3446.35
2013-12-25,3412.83
2013-12-24,3412.83
2013-12-23,3395.25
2013-12-20,3476.41
2013-12-19,3438.13
2013-12-18,3384.49
2013-12-17,3383.41
2013-12-16,3379.4
2013-12-13,3302.65
2013-12-12,3292.86
2013-12-11,3303.14
2013-12-10,3299.71
2013-12-09,3268.34
2013-12-06,3255.62
2013-12-05,3280.58
2013-12-04,3294.33
2013-12-03,3278.08
2013-12-02,3268.24
2013-11-29,3283.76
2013-11-28,3257.57
2013-11-27,3223.8
2013-11-26,3246.22
2013-11-25,3255.81
2013-11-22,3276.96
2013-11-21,3273.77
2013-11-20,3330.4
2013-11-19,3370.29
2013-11-18,3332.26
2013-11-15,3283.46
2013-11-14,3283.46
2013-11-13,3261.73
2013-11-12,3266.43
2013-11-11,3291.64
2013-11-08,3289.14
2013-11-07,3286.74
2013-11-06,3236.38
2013-11-05,3196.93
2013-11-04,3207.55
2013-11-01,3207.55
2013-10-31,3240.05
2013-10-30,3253.75
2013-10-29,3265.21
2013-10-28,3253.31
2013-10-25,3261.24
2013-10-24,3238.92
2013-10-23,3254.64
2013-10-22,3271.82
2013-10-21,3265.06
2013-10-18,3244.6
2013-10-17,3199.52
2013-10-16,3264.43
2013-10-15,3264.43
2013-10-14,3234.8
2013-10-11,3186.29
