Date,price
2014-10-24,2446.85
2014-10-23,2446.85
2014-10-22,2446.85
2014-10-21,2428.44
2014-10-20,2418.36
2014-10-17,2436.17
2014-10-16,2672.64
2014-10-15,2693.7
2014-10-14,2693.7
2014-10-13,2711.01
2014-10-10,2673.04
2014-10-09,2700.53
2014-10-08,2677.73
2014-10-07,2725.78
2014-10-06,2769.94
2014-10-03,2769.94
2014-10-02,2769.94
2014-10-01,2769.94
2014-09-30,2731.02
2014-09-29,2762.31
2014-09-26,2678.53
2014-09-25,2703.08
2014-09-24,2637.61
2014-09-23,2682.72
2014-09-22,2716.25
2014-09-19,2708.67
2014-09-18,2636.91
2014-09-17,2585.92
2014-09-16,2545.65
2014-09-15,2553.08
2014-09-12,2602.28
2014-09-11,2593.05
2014-09-10,2594.85
2014-09-09,2625.88
2014-09-08,2637.31
2014-09-05,2593.3
2014-09-04,2579.48
2014-09-03,2601.08
2014-09-02,2532.72
2014-09-01,2531.98
2014-08-29,2517.21
2014-08-28,2517.21
2014-08-27,2544.75
2014-08-26,2528.63
2014-08-25,2516.91
2014-08-22,2459.17
2014-08-21,2427.49
2014-08-20,2431.23
2014-08-19,2433.53
2014-08-18,2482.53
2014-08-15,2494.65
2014-08-14,2494.65
2014-08-13,2494.95
2014-08-12,2466.71
2014-08-11,2463.37
2014-08-08,2473.65
2014-08-07,2464.76
2014-08-06,2501.54
2014-08-05,2518.55
2014-08-04,2520.9
2014-08-01,2511.27
2014-07-31,2574.79
2014-07-30,2589.76
2014-07-29,2584.02
2014-07-28,2584.02
2014-07-25,2595.45
2014-07-24,2584.94
2014-07-23,2571.79
2014-07-22,2522.39
2014-07-21,2454.01
2014-07-18,2431.55
2014-07-17,2372.53
2014-07-16,2392.35
2014-07-15,2389.81
2014-07-14,2416.66
2014-07-11,2384.98
2014-07-10,2342.5
2014-07-09,2388.67
2014-07-08,2439.76
2014-07-07,2478.71
2014-07-04,2400.97
2014-07-03,2408.34
2014-07-02,2392.1
2014-07-01,2381.3
2014-06-30,2415.81
2014-06-27,2390.06
2014-06-26,2298.53
2014-06-25,2301.41
2014-06-24,2299.92
2014-06-23,2259.88
2014-06-20,2283.34
2014-06-19,2267.05
2014-06-18,2218.24
2014-06-17,2270.84
2014-06-16,2260.78
2014-06-13,2204.8
2014-06-12,2228.5
2014-06-11,2198.22
2014-06-10,2149.62
2014-06-09,2104.69
2014-06-06,2076.01
2014-06-05,2075.91
2014-06-04,2061.21
2014-06-03,2100.03
2014-06-02,2101.26
2014-05-30,2112.61
2014-05-29,2130.96
2014-05-28,2121.69
2014-05-27,2102.84
2014-05-26,2125.09
2014-05-23,2099.34
2014-05-22,2083.6
2014-05-21,2054.89
2014-05-20,2040.44
2014-05-19,2009.36
2014-05-16,2131.75
2014-05-15,2163.71
2014-05-14,2186.36
2014-05-13,2181.28
2014-05-12,2130.37
2014-05-09,2130.91
2014-05-08,2133.03
2014-05-07,2136.48
2014-05-06,2169.39
2014-05-05,2183.99
2014-05-02,2178.81
2014-05-01,2159.82
2014-04-30,2159.82
2014-04-29,2164.8
2014-04-28,2161.94
2014-04-25,2175.65
2014-04-24,2184.04
2014-04-23,2184.04
2014-04-22,2191.24
2014-04-21,2191.93
2014-04-18,2193.06
2014-04-17,2193.06
2014-04-16,2166.82
2014-04-15,2222.51
2014-04-14,2135.05
2014-04-11,2135.05
2014-04-10,2097.61
2014-04-09,2111.67
2014-04-08,2124.89
2014-04-07,2124.89
2014-04-04,2110.14
2014-04-03,2137.42
2014-04-02,2143.09
2014-04-01,2147.49
2014-03-31,2104.52
2014-03-28,2073.89
2014-03-27,2066.14
2014-03-26,2065.4
2014-03-25,2117.84
2014-03-24,2123.71
2014-03-21,2098.45
2014-03-20,2079.9
2014-03-19,2012.03
2014-03-18,2093.52
2014-03-17,2110.83
2014-03-14,2110.83
2014-03-13,2120.7
2014-03-12,2150.2
2014-03-11,2122.77
2014-03-10,2113.89
2014-03-07,2198.59
2014-03-06,2210.68
2014-03-05,2221.68
2014-03-04,2210.58
2014-03-03,2209.98
2014-02-28,2245.21
2014-02-27,2152.86
2014-02-26,2152.86
2014-02-25,2159.52
2014-02-24,2148.67
2014-02-21,2176.1
2014-02-20,2159.97
2014-02-19,2168.45
2014-02-18,2136.93
2014-02-17,2136.34
2014-02-14,2138.8
2014-02-13,2105.11
2014-02-12,2077.19
2014-02-11,2073.49
2014-02-10,2065.45
2014-02-07,2115.62
2014-02-06,2146.05
2014-02-05,2164.95
2014-02-04,2122.48
2014-02-03,2165
2014-01-31,2210.97
2014-01-30,2187.84
2014-01-29,2180.14
2014-01-28,2182.66
2014-01-27,2199.68
2014-01-24,2214.57
2014-01-23,2218.27
2014-01-22,2239.54
2014-01-21,2245.69
2014-01-20,2302.71
2014-01-17,2179.46
2014-01-16,2314.63
2014-01-15,2317.88
2014-01-14,2291.44
2014-01-13,2332.8
2014-01-10,2246.28
2014-01-09,2207.92
2014-01-08,2198.77
2014-01-07,2172.67
2014-01-06,2205.61
2014-01-03,2188.47
2014-01-02,2134.11
2014-01-01,2120.62
2013-12-31,2139.09
2013-12-30,2123.33
2013-12-27,2127.86
2013-12-26,2068.42
2013-12-25,2078.67
2013-12-24,2078.67
2013-12-23,2077.04
2013-12-20,2088.37
2013-12-19,2049.91
2013-12-18,2024.6
2013-12-17,2014.31
2013-12-16,1988.51
2013-12-13,1971.42
2013-12-12,1998.11
2013-12-11,2026.82
2013-12-10,2051.14
2013-12-09,1974.42
2013-12-06,1969.94
2013-12-05,1956.99
2013-12-04,1969.7
2013-12-03,1990.13
2013-12-02,1983.34
2013-11-29,1973.93
2013-11-28,1954.48
2013-11-27,1956.3
2013-11-26,1963.44
2013-11-25,1982.7
2013-11-22,1970.48
2013-11-21,1956.45
2013-11-20,1992.89
2013-11-19,1999.09
2013-11-18,2012.98
2013-11-15,1995.45
2013-11-14,1995.45
2013-11-13,2017.9
2013-11-12,2055.47
2013-11-11,2062.86
2013-11-08,2059.12
2013-11-07,2089.75
2013-11-06,2059.36
2013-11-05,2011.01
2013-11-04,2065.77
2013-11-01,2065.77
2013-10-31,2080
2013-10-30,2060.2
2013-10-29,2038.39
2013-10-28,2032.63
2013-10-25,2036.37
2013-10-24,1974.28
2013-10-23,2025.83
2013-10-22,2053.54
2013-10-21,2036.15
2013-10-18,2084.31
2013-10-17,2072.32
2013-10-16,2177.43
2013-10-15,2177.43
2013-10-14,2174.83
2013-10-11,2085.68
2013-10-10,2044.35
2013-10-09,2055.02
2013-10-08,2026.12
2013-10-07,2053.94
2013-10-04,1998.75
2013-10-03,1989.9
2013-10-02,1915.65
2013-10-01,1915.65
2013-09-30,1894.76
2013-09-27,1914.71
2013-09-26,1909.6
2013-09-25,1925.48
2013-09-24,1906.26
2013-09-23,1921.59
2013-09-20,1916.88
2013-09-19,1932.6
2013-09-18,1921
2013-09-17,1914.08
2013-09-16,1869.94
2013-09-13,1920.27
2013-09-12,1934.17
2013-09-11,1959.63
2013-09-10,1953.83
2013-09-09,1954.72
2013-09-06,1954.72
2013-09-05,1956.63
2013-09-04,2033.64
2013-09-03,1966.81
2013-09-02,2021.6
2013-08-30,1998.36
2013-08-29,1913.73
2013-08-28,1875.2
2013-08-27,1807.29
2013-08-26,1810.43
2013-08-23,1798.1
2013-08-22,1748.46
2013-08-21,1688.36
2013-08-20,1706.64
2013-08-19,1746.99
2013-08-16,1750.38
2013-08-15,1802.08
2013-08-14,1802.08
2013-08-13,1788.61
2013-08-12,1782.91
2013-08-09,1813.77
2013-08-08,1813.77
2013-08-07,1791.46
2013-08-06,1838.05
2013-08-05,1835.2
2013-08-02,1814.22
2013-08-01,1784.29
2013-07-31,1784.39
2013-07-30,1761.58
2013-07-29,1748.71
2013-07-26,1740.16
2013-07-25,1761
2013-07-24,1748.3
2013-07-23,1715.94
2013-07-22,1712.7
2013-07-19,1709.07
2013-07-18,1628.27
2013-07-17,1646.02
2013-07-16,1617.43
2013-07-15,1609.98
2013-07-12,1578.69
2013-07-11,1534.27
2013-07-10,1482.69
2013-07-09,1475.78
2013-07-08,1477.49
2013-07-05,1500.59
