Date,price
2014-10-24,146.55
2014-10-23,146.55
2014-10-22,146.55
2014-10-21,147.55
2014-10-20,143.5
2014-10-17,140.95
2014-10-16,138.25
2014-10-15,140.7
2014-10-14,140.7
2014-10-13,140.25
2014-10-10,141.25
2014-10-09,142.9
2014-10-08,143.4
2014-10-07,140.65
2014-10-06,139.05
2014-10-03,139.05
2014-10-02,139.05
2014-10-01,139.05
2014-09-30,139.1
2014-09-29,139
2014-09-26,139.35
2014-09-25,136.45
2014-09-24,138
2014-09-23,136.9
2014-09-22,136.45
2014-09-19,138.25
2014-09-18,136.9
2014-09-17,133.65
2014-09-16,132.15
2014-09-15,135.9
2014-09-12,137.75
2014-09-11,140
2014-09-10,139.4
2014-09-09,140.6
2014-09-08,140.45
2014-09-05,142.85
2014-09-04,142.45
2014-09-03,139.7
2014-09-02,140.2
2014-09-01,139.7
2014-08-29,137.4
2014-08-28,137.4
2014-08-27,139.5
2014-08-26,141
2014-08-25,141.8
2014-08-22,142.5
2014-08-21,142.5
2014-08-20,145.3
2014-08-19,143.9
2014-08-18,142.6
2014-08-15,142.05
2014-08-14,142.05
2014-08-13,139.95
2014-08-12,137.75
2014-08-11,134.15
2014-08-08,136.22
2014-08-07,139.08
2014-08-06,138.69
2014-08-05,138.93
2014-08-04,139.53
2014-08-01,138.98
2014-07-31,143.23
2014-07-30,147.92
2014-07-29,147.18
2014-07-28,147.18
2014-07-25,147.08
2014-07-24,147.82
2014-07-23,148.17
2014-07-22,147.97
2014-07-21,146.14
2014-07-18,147.82
2014-07-17,148.51
2014-07-16,144.81
2014-07-15,143.77
2014-07-14,145.95
2014-07-11,147.82
2014-07-10,149.25
2014-07-09,148.76
2014-07-08,151.08
2014-07-07,159.33
2014-07-04,156.56
2014-07-03,155.38
2014-07-02,157.75
2014-07-01,152.66
2014-06-30,154.24
2014-06-27,150.34
2014-06-26,150.39
2014-06-25,154.88
2014-06-24,152.91
2014-06-23,150.64
2014-06-20,149.75
2014-06-19,150.59
2014-06-18,149.6
2014-06-17,152.96
2014-06-16,150.98
2014-06-13,151.43
2014-06-12,158.24
2014-06-11,156.12
2014-06-10,161.5
2014-06-09,162.98
2014-06-06,163.42
2014-06-05,162.14
2014-06-04,162.93
2014-06-03,162.14
2014-06-02,157.25
2014-05-30,158.49
2014-05-29,150.24
2014-05-28,149.55
2014-05-27,152.22
2014-05-26,154.29
2014-05-23,158.19
2014-05-22,152.27
2014-05-21,143.82
2014-05-20,140.47
2014-05-19,143.77
2014-05-16,129.95
2014-05-15,127.68
2014-05-14,123.93
2014-05-13,121.26
2014-05-12,119.58
2014-05-09,116.67
2014-05-08,114.1
2014-05-07,114.3
2014-05-06,112.87
2014-05-05,112.42
2014-05-02,113.01
2014-05-01,114.89
2014-04-30,114.89
2014-04-29,116.17
2014-04-28,116.47
2014-04-25,117.01
2014-04-24,120.57
2014-04-23,120.57
2014-04-22,122.25
2014-04-21,122.99
2014-04-18,121.41
2014-04-17,121.41
2014-04-16,121.06
2014-04-15,123.83
2014-04-14,123.04
2014-04-11,123.04
2014-04-10,122.15
2014-04-09,119.04
2014-04-08,117.9
2014-04-07,117.9
2014-04-04,118.79
2014-04-03,121.46
2014-04-02,121.36
2014-04-01,120.42
2014-03-31,118.4
2014-03-28,119.43
2014-03-27,115.33
2014-03-26,113.46
2014-03-25,113.66
2014-03-24,112.52
2014-03-21,112.42
2014-03-20,114.3
2014-03-19,114.5
2014-03-18,116.42
2014-03-17,115.58
2014-03-14,115.58
2014-03-13,114.79
2014-03-12,115.68
2014-03-11,115.93
2014-03-10,115.53
2014-03-07,114.89
2014-03-06,115.24
2014-03-05,112.62
2014-03-04,112.42
2014-03-03,109.81
2014-02-28,110.99
2014-02-27,114
2014-02-26,114
2014-02-25,114.4
2014-02-24,115.43
2014-02-21,130.79
2014-02-20,129.46
2014-02-19,130.69
2014-02-18,132.17
2014-02-17,132.17
2014-02-14,130.59
2014-02-13,128.47
2014-02-12,129.11
2014-02-11,130.49
2014-02-10,133.5
2014-02-07,134.24
2014-02-06,131.92
2014-02-05,130.74
2014-02-04,128.57
2014-02-03,124.42
2014-01-31,124.86
2014-01-30,122.64
2014-01-29,122.26
2014-01-28,122.93
2014-01-27,123.84
2014-01-24,125.8
2014-01-23,125.42
2014-01-22,126.9
2014-01-21,125.08
2014-01-20,126.13
2014-01-17,125.89
2014-01-16,127.38
2014-01-15,126.52
2014-01-14,125.56
2014-01-13,126.99
2014-01-10,125.7
2014-01-09,127.86
2014-01-08,123.93
2014-01-07,124.22
2014-01-06,126.42
2014-01-03,126.04
2014-01-02,129.05
2014-01-01,132.21
2013-12-31,131.06
2013-12-30,130.15
2013-12-27,131.3
2013-12-26,131.2
2013-12-25,131.83
2013-12-24,131.83
2013-12-23,130.87
2013-12-20,130.06
2013-12-19,129.15
2013-12-18,129.58
2013-12-17,129.1
2013-12-16,131.97
2013-12-13,131.35
2013-12-12,133.6
2013-12-11,133.21
2013-12-10,130.15
2013-12-09,146.8
2013-12-06,142.49
2013-12-05,137.61
2013-12-04,139.05
2013-12-03,139.38
2013-12-02,140.67
2013-11-29,140.87
2013-11-28,141.49
2013-11-27,140.24
2013-11-26,142.3
2013-11-25,143.64
2013-11-22,144.31
2013-11-21,143.69
2013-11-20,147.95
2013-11-19,148.33
2013-11-18,149.28
2013-11-15,146.18
2013-11-14,146.18
2013-11-13,143.02
2013-11-12,142.68
2013-11-11,143.78
2013-11-08,145.94
2013-11-07,146.08
2013-11-06,145.98
2013-11-05,140.87
2013-11-04,139.91
2013-11-01,139.91
2013-10-31,142.64
2013-10-30,140.87
2013-10-29,139.72
2013-10-28,137.8
2013-10-25,138.9
2013-10-24,137.09
2013-10-23,139.05
2013-10-22,142.3
2013-10-21,141.25
2013-10-18,139.53
2013-10-17,137.33
2013-10-16,138.81
2013-10-15,138.81
2013-10-14,137.42
2013-10-11,137.8
2013-10-10,141.49
2013-10-09,138.86
2013-10-08,138.09
2013-10-07,136.08
2013-10-04,136.42
2013-10-03,137.66
2013-10-02,137.61
2013-10-01,137.61
2013-09-30,141.06
2013-09-27,141.54
2013-09-26,143.21
