Date,price
2014-10-24,579.15
2014-10-23,579.15
2014-10-22,579.15
2014-10-21,578.95
2014-10-20,561.95
2014-10-17,554.25
2014-10-16,546.1
2014-10-15,571.8
2014-10-14,571.8
2014-10-13,583.2
2014-10-10,582.1
2014-10-09,585.7
2014-10-08,572.3
2014-10-07,567.6
2014-10-06,592.55
2014-10-03,592.55
2014-10-02,592.55
2014-10-01,592.55
2014-09-30,585.45
2014-09-29,593.45
2014-09-26,593.7
2014-09-25,598.35
2014-09-24,636.4
2014-09-23,636.4
2014-09-22,641.7
2014-09-19,647.2
2014-09-18,674.2
2014-09-17,649.5
2014-09-16,644.46
2014-09-15,681.13
2014-09-12,682.82
2014-09-11,693.64
2014-09-10,696.51
2014-09-09,690.72
2014-09-08,682.17
2014-09-05,696.21
2014-09-04,708.27
2014-09-03,727.35
2014-09-02,740.94
2014-09-01,726.71
2014-08-29,691.32
2014-08-28,691.32
2014-08-27,691.81
2014-08-26,691.71
2014-08-25,694.83
2014-08-22,723.15
2014-08-21,715.74
2014-08-20,720.04
2014-08-19,722.7
2014-08-18,717.27
2014-08-15,706.79
2014-08-14,706.79
2014-08-13,697.15
2014-08-12,718.45
2014-08-11,700.56
2014-08-08,708.42
2014-08-07,739.71
2014-08-06,752.21
2014-08-05,762.99
2014-08-04,742.62
2014-08-01,724.09
2014-07-31,732.94
2014-07-30,744.06
2014-07-29,727.05
2014-07-28,727.05
2014-07-25,724.48
2014-07-24,750.73
2014-07-23,745.64
2014-07-22,748.06
2014-07-21,757.75
2014-07-18,758
2014-07-17,777.87
2014-07-16,771.29
2014-07-15,755.82
2014-07-14,710.15
2014-07-11,710.45
2014-07-10,756.22
2014-07-09,741.29
2014-07-08,740.85
2014-07-07,792.65
2014-07-04,782.86
2014-07-03,785.63
2014-07-02,778.16
2014-07-01,765.66
2014-06-30,764.67
2014-06-27,725.97
2014-06-26,710.94
2014-06-25,732.64
2014-06-24,721.47
2014-06-23,698.24
2014-06-20,718.35
2014-06-19,727.15
2014-06-18,740.35
2014-06-17,759.83
2014-06-16,743.42
2014-06-13,733.78
2014-06-12,767.98
2014-06-11,773.17
2014-06-10,800.9
2014-06-09,799.47
2014-06-06,777.87
2014-06-05,772.38
2014-06-04,724.19
2014-06-03,712.42
2014-06-02,719.39
2014-05-30,682.91
2014-05-29,673.08
2014-05-28,692.06
2014-05-27,689.29
2014-05-26,696.26
2014-05-23,719.44
2014-05-22,703.38
2014-05-21,687.66
2014-05-20,703.18
2014-05-19,723.25
2014-05-16,619.1
2014-05-15,579.26
2014-05-14,583.41
2014-05-13,581.88
2014-05-12,552.32
2014-05-09,538.09
2014-05-08,508.23
2014-05-07,506.3
2014-05-06,507.09
2014-05-05,513.17
2014-05-02,512.88
2014-05-01,502.79
2014-04-30,502.79
2014-04-29,524.89
2014-04-28,517.77
2014-04-25,517.08
2014-04-24,516.29
2014-04-23,516.29
2014-04-22,521.73
2014-04-21,526.17
2014-04-18,516.14
2014-04-17,516.14
2014-04-16,498.84
2014-04-15,494.98
2014-04-14,499.24
2014-04-11,499.24
2014-04-10,497.46
2014-04-09,457.42
2014-04-08,446.59
2014-04-07,446.59
2014-04-04,450.75
2014-04-03,442.09
2014-04-02,447.14
2014-04-01,429.14
2014-03-31,428.7
2014-03-28,430.28
2014-03-27,416.19
2014-03-26,417.97
2014-03-25,417.33
2014-03-24,409.72
2014-03-21,403.89
2014-03-20,402.4
2014-03-19,410.76
2014-03-18,402.5
2014-03-17,403.74
2014-03-14,403.74
2014-03-13,400.33
2014-03-12,410.81
2014-03-11,418.86
2014-03-10,399.68
2014-03-07,396.13
2014-03-06,393.75
2014-03-05,358.26
2014-03-04,357.82
2014-03-03,350.5
2014-02-28,358.76
2014-02-27,356.88
2014-02-26,356.88
2014-02-25,356.78
2014-02-24,359.99
2014-02-21,360.04
2014-02-20,359.7
2014-02-19,360.54
2014-02-18,366.52
2014-02-17,353.22
2014-02-14,354.65
2014-02-13,351.34
2014-02-12,354.06
2014-02-11,354.36
2014-02-10,362.32
2014-02-07,365.08
2014-02-06,357.72
2014-02-05,355.1
2014-02-04,359.5
2014-02-03,357.67
2014-01-31,368.15
2014-01-30,359.65
2014-01-29,359.99
2014-01-28,370.52
2014-01-27,373.49
2014-01-24,394.1
2014-01-23,403.84
2014-01-22,408.43
2014-01-21,399.68
2014-01-20,396.82
2014-01-17,396.08
2014-01-16,396.27
2014-01-15,401.51
2014-01-14,396.32
2014-01-13,397.91
2014-01-10,393.46
2014-01-09,397.91
2014-01-08,404.83
2014-01-07,399.98
2014-01-06,406.8
2014-01-03,408.73
2014-01-02,412.19
2014-01-01,428.45
2013-12-31,420.89
2013-12-30,419.7
2013-12-27,425.88
2013-12-26,422.22
2013-12-25,429.98
2013-12-24,429.98
2013-12-23,425.54
2013-12-20,423.16
2013-12-19,408.53
2013-12-18,423.81
2013-12-17,407.35
2013-12-16,414.46
2013-12-13,415.3
2013-12-12,433.49
2013-12-11,430.97
2013-12-10,433.89
2013-12-09,442.79
2013-12-06,433.49
2013-12-05,432.46
2013-12-04,420.25
2013-12-03,425.44
2013-12-02,427.07
2013-11-29,425.44
2013-11-28,408.43
2013-11-27,402.06
2013-11-26,401.86
2013-11-25,405.96
2013-11-22,396.62
2013-11-21,404.68
2013-11-20,413.08
2013-11-19,414.51
2013-11-18,422.42
2013-11-15,408.73
2013-11-14,408.73
2013-11-13,400.23
2013-11-12,415.3
2013-11-11,436.86
2013-11-08,446.64
2013-11-07,433.3
2013-11-06,441.16
2013-11-05,452.18
2013-11-04,448.62
2013-11-01,448.62
2013-10-31,426.87
2013-10-30,424.35
2013-10-29,424
2013-10-28,409.22
2013-10-25,417.03
2013-10-24,422.82
2013-10-23,422.13
2013-10-22,431.86
2013-10-21,427.37
2013-10-18,415.85
2013-10-17,404.18
2013-10-16,406.16
2013-10-15,406.16
2013-10-14,412.78
2013-10-11,404.18
2013-10-10,407.89
2013-10-09,408.24
2013-10-08,398.4
2013-10-07,390.94
2013-10-04,388.66
2013-10-03,383.92
2013-10-02,371.61
2013-10-01,371.61
2013-09-30,366.27
2013-09-27,387.87
2013-09-26,397.36
2013-09-25,403.44
2013-09-24,405.37
2013-09-23,404.43
2013-09-20,405.47
2013-09-19,392.72
2013-09-18,373.34
2013-09-17,374.92
2013-09-16,376.11
2013-09-13,383.22
2013-09-12,369.53
2013-09-11,375.02
2013-09-10,368.05
2013-09-09,361.82
2013-09-06,361.82
2013-09-05,348.67
2013-09-04,331.87
2013-09-03,325.34
2013-09-02,347.39
2013-08-30,338.39
2013-08-29,336.12
2013-08-28,331.23
2013-08-27,327.57
2013-08-26,348.72
2013-08-23,353.27
2013-08-22,341.26
2013-08-21,313.18
2013-08-20,330.48
2013-08-19,329.69
2013-08-16,321.69
2013-08-15,353.47
2013-08-14,353.47
2013-08-13,351.34
2013-08-12,339.29
2013-08-09,334.78
2013-08-08,334.78
2013-08-07,324.08
2013-08-06,311.2
2013-08-05,314.3
2013-08-02,301.95
2013-08-01,319.53
2013-07-31,330.72
2013-07-30,326.55
2013-07-29,350.86
2013-07-26,359.72
2013-07-25,365.53
2013-07-24,372.12
2013-07-23,383.88
2013-07-22,374.49
2013-07-19,375.84
2013-07-18,373.33
2013-07-17,356.91
2013-07-16,361.9
2013-07-15,377.73
2013-07-12,373.47
2013-07-11,369.89
2013-07-10,363.5
2013-07-09,367.32
2013-07-08,357.06
2013-07-05,348.87
2013-07-04,348.24
2013-07-03,336.04
2013-07-02,346.16
2013-07-01,354.93
2013-06-28,338.17
2013-06-27,318.66
2013-06-26,318.32
2013-06-25,320.31
2013-06-24,311.11
2013-06-21,321.47
2013-06-20,329.12
2013-06-19,352.12
2013-06-18,351
2013-06-17,350.47
2013-06-14,345.97
2013-06-13,332.7
2013-06-12,333.67
2013-06-11,347.91
2013-06-10,359.87
2013-06-07,365.38
2013-06-06,370.23
2013-06-05,361.03
2013-06-04,356.28
2013-06-03,357.11
2013-05-31,349.94
2013-05-30,370.03
2013-05-29,374.97
2013-05-28,377.3
2013-05-27,373.23
2013-05-24,364.27
2013-05-23,355.02
2013-05-22,395.36
2013-05-21,402.18
2013-05-20,411.19
2013-05-17,413.18
2013-05-16,403.64
2013-05-15,394.92
2013-05-14,376.81
2013-05-13,375.12
2013-05-10,393.66
2013-05-09,390.18
2013-05-08,385.29
2013-05-07,388.92
2013-05-06,386.59
2013-05-03,378.6
2013-05-02,377.39
2013-05-01,363.3
2013-04-30,363.3
2013-04-29,370.18
2013-04-26,354.88
2013-04-25,364.85
2013-04-24,366.98
2013-04-23,366.98
2013-04-22,370.37
2013-04-19,353.23
2013-04-18,353.23
2013-04-17,345.87
2013-04-16,355.56
2013-04-15,344.52
2013-04-12,336.19
2013-04-11,328.54
2013-04-10,333.33
2013-04-09,318.42
2013-04-08,330.81
2013-04-05,320.35
2013-04-04,319.48
2013-04-03,332.75
2013-04-02,340.55
2013-04-01,328.05
2013-03-29,314.2
2013-03-28,314.2
2013-03-27,313.24
2013-03-26,313.24
2013-03-25,333.57
2013-03-22,332.07
2013-03-21,326.36
2013-03-20,347.81
2013-03-19,383.25
2013-03-18,398.94
2013-03-15,406.74
2013-03-14,416.47
2013-03-13,408.67
2013-03-12,412.21
2013-03-11,415.84
2013-03-08,419.37
2013-03-07,415.11
2013-03-06,417.73
2013-03-05,412.45
2013-03-04,405.33
2013-03-01,419.57
2013-02-28,405.77
2013-02-27,447.26
2013-02-26,442.86
2013-02-25,456.03
2013-02-22,461.45
2013-02-21,458.35
2013-02-20,475.49
2013-02-19,476.56
2013-02-18,471.04
2013-02-15,460.24
2013-02-14,455.64
2013-02-13,464.6
2013-02-12,480.72
2013-02-11,479.66
2013-02-08,472.15
2013-02-07,484.36
2013-02-06,505.27
2013-02-05,501.21
2013-02-04,498.78
2013-02-01,500.43
2013-01-31,499.22
2013-01-30,502.03
2013-01-29,502.17
2013-01-28,512.44
2013-01-25,523.09
2013-01-24,501.74
2013-01-23,517.43
2013-01-22,523.48
2013-01-21,531.18
2013-01-18,510.65
2013-01-17,509.58
2013-01-16,518.88
2013-01-15,537.47
2013-01-14,540.91
2013-01-11,530.6
2013-01-10,547.79
2013-01-09,542.65
2013-01-08,549.19
2013-01-07,533.55
2013-01-04,529.92
2013-01-03,528.76
2013-01-02,526.19
2013-01-01,526.97
2012-12-31,504.11
2012-12-28,500.72
2012-12-27,499.22
2012-12-26,504.69
2012-12-25,500.92
2012-12-24,500.92
2012-12-21,498.01
2012-12-20,506.1
2012-12-19,509.63
2012-12-18,506.63
2012-12-17,499.22
2012-12-14,504.69
2012-12-13,498.83
2012-12-12,509.82
2012-12-11,500.87
2012-12-10,502.17
2012-12-07,491.04
2012-12-06,496.12
2012-12-05,484.84
2012-12-04,482.47
2012-12-03,473.27
2012-11-30,469.97
2012-11-29,461.26
2012-11-28,456.13
2012-11-27,456.13
2012-11-26,443.29
2012-11-23,441.5
2012-11-22,445.62
2012-11-21,440.44
2012-11-20,435.74
2012-11-19,444.31
2012-11-16,447.7
2012-11-15,459.37
2012-11-14,458.89
2012-11-13,458.89
2012-11-12,458.89
2012-11-09,456.17
2012-11-08,461.31
2012-11-07,469.73
2012-11-06,463.63
2012-11-05,472.2
2012-11-02,471.38
2012-11-01,466.68
2012-10-31,454.67
2012-10-30,466.05
2012-10-29,478.69
2012-10-26,483.87
2012-10-25,483.87
2012-10-24,491.42
2012-10-23,491.42
2012-10-22,496.02
2012-10-19,492.01
2012-10-18,500.48
2012-10-17,488.33
2012-10-16,488.08
2012-10-15,500.24
2012-10-12,498.2
2012-10-11,501.35
2012-10-10,488.76
2012-10-09,502.85
2012-10-08,502.66
2012-10-05,524.88
2012-10-04,538.59
2012-10-03,532
2012-10-02,535.68
