Date,price
2014-10-24,87.85
2014-10-23,87.85
2014-10-22,87.85
2014-10-21,87.9
2014-10-20,86.75
2014-10-17,84.95
2014-10-16,83.75
2014-10-15,86.95
2014-10-14,86.95
2014-10-13,85.15
2014-10-10,82.8
2014-10-09,84.5
2014-10-08,82.35
2014-10-07,81.1
2014-10-06,80.8
2014-10-03,80.8
2014-10-02,80.8
2014-10-01,80.8
2014-09-30,83.05
2014-09-29,83.85
2014-09-26,84.3
2014-09-25,83.5
2014-09-24,85.25
2014-09-23,84.85
2014-09-22,87.1
2014-09-19,87.95
2014-09-18,88
2014-09-17,85.5
2014-09-16,83.55
2014-09-15,89
2014-09-12,89.35
2014-09-11,90.9
2014-09-10,89.9
2014-09-09,88.65
2014-09-08,87.7
2014-09-05,88.35
2014-09-04,89.15
2014-09-03,90
2014-09-02,88.95
2014-09-01,90.2
2014-08-29,86.6
2014-08-28,86.6
2014-08-27,88.65
2014-08-26,87.85
2014-08-25,90.4
2014-08-22,93.7
2014-08-21,93.35
2014-08-20,94.6
2014-08-19,92.6
2014-08-18,91.8
2014-08-15,90.6
2014-08-14,90.6
2014-08-13,88.55
2014-08-12,91.35
2014-08-11,90.85
2014-08-08,91.35
2014-08-07,94.9
2014-08-06,95.75
2014-08-05,96.6
2014-08-04,96.3
2014-08-01,95
2014-07-31,97.75
2014-07-30,99.6
2014-07-29,101.25
2014-07-28,101.25
2014-07-25,100.65
2014-07-24,103.4
2014-07-23,103.25
2014-07-22,103.15
2014-07-21,102.61
2014-07-18,104.58
2014-07-17,107.25
2014-07-16,103.69
2014-07-15,103.3
2014-07-14,103.55
2014-07-11,100.73
2014-07-10,104.63
2014-07-09,101.62
2014-07-08,104.68
2014-07-07,109.77
2014-07-04,105.87
2014-07-03,105.52
2014-07-02,108.04
2014-07-01,107.1
2014-06-30,106.51
2014-06-27,102.56
2014-06-26,102.26
2014-06-25,103.64
2014-06-24,102.26
2014-06-23,100.48
2014-06-20,99.94
2014-06-19,102.71
2014-06-18,104.04
2014-06-17,105.42
2014-06-16,104.39
2014-06-13,102.41
2014-06-12,105.62
2014-06-11,105.72
2014-06-10,111.2
2014-06-09,112.34
2014-06-06,109.87
2014-06-05,108.73
2014-06-04,104.63
2014-06-03,104.48
2014-06-02,104.78
2014-05-30,102.56
2014-05-29,99.84
2014-05-28,100.98
2014-05-27,97.47
2014-05-26,100.14
2014-05-23,104.53
2014-05-22,98.26
2014-05-21,95.2
2014-05-20,96.38
2014-05-19,96.53
2014-05-16,89.81
2014-05-15,86.55
2014-05-14,83.74
2014-05-13,83.59
2014-05-12,80.62
2014-05-09,79.63
2014-05-08,75.39
2014-05-07,75.83
2014-05-06,76.57
2014-05-05,77.81
2014-05-02,79.19
2014-05-01,77.16
2014-04-30,77.16
2014-04-29,79.93
2014-04-28,81.96
2014-04-25,82.06
2014-04-24,82.65
2014-04-23,82.65
2014-04-22,82.8
